Domain Name,Domain Type,Agency,City,State
http://harpercountyks.gov,City,Non-Federal Agency,Anthony,KS
http://harringtonparknj.gov,City,Non-Federal Agency,HARRINGTON PARK,NJ
http://harrisonohio.gov,City,Non-Federal Agency,Harrison,OH
http://harrisontwp-pa.gov,City,Non-Federal Agency,Natrona Heights,PA
http://hartsvillesc.gov,City,Non-Federal Agency,Hartsville,SC
http://hastingsmn.gov,City,Non-Federal Agency,Hastings,MN
http://haverhillma.gov,City,Non-Federal Agency,Haverhill,MA
http://hayestownshipmi.gov,City,Non-Federal Agency,Charlevoix,MI
http://hazardky.gov,City,Non-Federal Agency,Hazard,KY
http://headoftheharborny.gov,City,Non-Federal Agency,Saint James,NY
http://helotes-tx.gov,City,Non-Federal Agency,Helotes,TX
http://hendersontn.gov,City,Non-Federal Agency,Henderson,TN
http://hialeahfl.gov,City,Non-Federal Agency,Hialeah,FL
http://highlandheights-ky.gov,City,Non-Federal Agency,Highland Heights,KY
http://highlandil.gov,City,Non-Federal Agency,Highland,IL
http://highlands-ny.gov,City,Non-Federal Agency,Highland Falls,NY
http://hopkinsville-ky.gov,City,Non-Federal Agency,Hopkinsville,KY
http://horseshoe-bay-tx.gov,City,Non-Federal Agency,Horseshoe Bay,TX
http://hpca.gov,City,Non-Federal Agency,Huntington Park,CA
http://huntspoint-wa.gov,City,Non-Federal Agency,Hunts Point,WA
http://huntsvilletx.gov,City,Non-Federal Agency,Huntsville,TX
http://hurontownship-mi.gov,City,Non-Federal Agency,New Boston,MI
http://idahofallsidaho.gov,City,Non-Federal Agency,Idaho Falls,ID
http://imperialbeachca.gov,City,Non-Federal Agency,Imperial Beach,CA
http://indianheadpark-il.gov,City,Non-Federal Agency,Indian Head Park,IL
http://inverness-il.gov,City,Non-Federal Agency,Inverness,IL
http://ipswichma.gov,City,Non-Federal Agency,Ipswich,MA
http://isliptown-ny.gov,City,Non-Federal Agency,Islip,NY
http://jeffersoncitymo.gov,City,Non-Federal Agency,Jefferson City,MO
http://kenmorewa.gov,City,Non-Federal Agency,Kenmore,WA
http://killeentexas.gov,City,Non-Federal Agency,Killeen,TX
http://kunaid.gov,City,Non-Federal Agency,Kuna,ID
http://laconianh.gov,City,Non-Federal Agency,Laconia,NH
http://lakegroveny.gov,City,Non-Federal Agency,Lake Grove,NY
http://lakepark-fl.gov,City,Non-Federal Agency,Lake Park,FL
http://lakesitetn.gov,City,Non-Federal Agency,Lakesite,TN
http://lanesboro-mn.gov,City,Non-Federal Agency,Lanesboro,MN
http://laportetx.gov,City,Non-Federal Agency,La Porte,TX
http://laquintaca.gov,City,Non-Federal Agency,La Quinta,CA
http://lasvegasnm.gov,City,Non-Federal Agency,Las Vegas,NM
http://lawtonmi.gov,City,Non-Federal Agency,Lawton,MI
http://leadville-co.gov,City,Non-Federal Agency,Leadville,CO
http://lebanonnh.gov,City,Non-Federal Agency,Lebanon,NH
http://leesburgflorida.gov,City,Non-Federal Agency,Leesburg,FL
http://leesburgva.gov,City,Non-Federal Agency,Leesburg,VA
http://leroytownship-mi.gov,City,Non-Federal Agency,Webberville,MI
http://lexington-ma.gov,City,Non-Federal Agency,Lexington,MA
http://lexingtonma.gov,City,Non-Federal Agency,Lexington,MA
http://lexingtonva.gov,City,Non-Federal Agency,Lexington,VA
http://libertyhilltx.gov,City,Non-Federal Agency,Liberty Hill,TX
http://lincolnca.gov,City,Non-Federal Agency,Lincoln,CA
http://linton-in.gov,City,Non-Federal Agency,Linton,IN
http://litchfield-nh.gov,City,Non-Federal Agency,Litchfield,NH
http://lockhavenpa.gov,City,Non-Federal Agency,Lock Haven,PA
http://lockportny.gov,City,Non-Federal Agency,Lockport,NY
http://loganco.gov,City,Non-Federal Agency,Sterling,CO
http://londonbritaintownship-pa.gov,City,Non-Federal Agency,Landenberg,PA
http://longhillnj.gov,City,Non-Federal Agency,Long Hill,NJ
http://longportnj.gov,City,Non-Federal Agency,Longport,NJ
http://longviewtx.gov,City,Non-Federal Agency,Longview,TX
http://losgatosca.gov,City,Non-Federal Agency,Los Gatos,CA
http://louisvilleky.gov,City,Non-Federal Agency,Louisville,KY
http://louisvilletn.gov,City,Non-Federal Agency,Louisville,TN
http://lowellarkansas.gov,City,Non-Federal Agency,Lowell,AR
http://lunenburgma.gov,City,Non-Federal Agency,Lunenburg,MA
http://lymect.gov,City,Non-Federal Agency,Lyme,CT
http://manchesterct.gov,City,Non-Federal Agency,Manchester,CT
http://mankatomn.gov,City,Non-Federal Agency,Mankato,MN
http://maranaaz.gov,City,Non-Federal Agency,Marana,AZ
http://marlownh.gov,City,Non-Federal Agency,Marlow,NH
http://mcminnvilleoregon.gov,City,Non-Federal Agency,McMinnville,OR
http://middletonma.gov,City,Non-Federal Agency,Middleton,MA
http://middletonnh.gov,City,Non-Federal Agency,Middleton,NH
http://milfordne.gov,City,Non-Federal Agency,Milford,NE
http://millingtontn.gov,City,Non-Federal Agency,Millington,TN
http://millswy.gov,City,Non-Federal Agency,Mills,WY
http://mineralwellstx.gov,City,Non-Federal Agency,Mineral Wells,TX
http://minneapolis-mn.gov,City,Non-Federal Agency,Minneapolis,MN
http://minnetonka-mn.gov,City,Non-Federal Agency,Minnetonka,MN
http://miramarfl.gov,City,Non-Federal Agency,Miramar,FL
http://monroemi.gov,City,Non-Federal Agency,Monroe,MI
http://montgomeryohio.gov,City,Non-Federal Agency,Montgomery,OH
http://montgomerytexas.gov,City,Non-Federal Agency,Montgomery,TX
http://monticelloin.gov,City,Non-Federal Agency,Monticello,IN
http://morehead-ky.gov,City,Non-Federal Agency,Morehead,KY
http://morningsidemd.gov,City,Non-Federal Agency,Morningside,MD
http://mountcarmeltn.gov,City,Non-Federal Agency,Mount Carmel,TN
http://mountpocono-pa.gov,City,Non-Federal Agency,Mount Pocono,PA
http://mtjuliet-tn.gov,City,Non-Federal Agency,Mt Juliet,TN
http://murrietaca.gov,City,Non-Federal Agency,Murrieta,CA
http://muskegon-mi.gov,City,Non-Federal Agency,Muskegon,MI
http://napa-ca.gov,City,Non-Federal Agency,Napa,CA
http://nashotah-wi.gov,City,Non-Federal Agency,Nashotah,WI
http://nationalcityca.gov,City,Non-Federal Agency,National City,CA
http://nevadacityca.gov,City,Non-Federal Agency,Nevada City,CA
http://newarkde.gov,City,Non-Federal Agency,Newark,DE
http://newbedford-ma.gov,City,Non-Federal Agency,New Bedford,MA
http://newconcord-oh.gov,City,Non-Federal Agency,New Concord,OH
http://newharmony-in.gov,City,Non-Federal Agency,New Harmony,IN
http://newingtonct.gov,City,Non-Federal Agency,Newington,CT
http://southpittsburg-tn.gov,City,Non-Federal Agency,South Pittsburg,TN
http://southsanfranciscoca.gov,City,Non-Federal Agency,South San Francisco,CA
http://springhilllouisiana.gov,City,Non-Federal Agency,Springhill,LA
http://staffordtx.gov,City,Non-Federal Agency,stafford,TX
http://sterlingheightsmi.gov,City,Non-Federal Agency,Sterling Heights,MI
http://stlouis-mo.gov,City,Non-Federal Agency,St. Louis,MO
http://stmaryspa.gov,City,Non-Federal Agency,St. Marys,PA
http://stonington-ct.gov,City,Non-Federal Agency,Stonington,CT
http://stpaulsnc.gov,City,Non-Federal Agency,St. Pauls,NC
http://sturgismi.gov,City,Non-Federal Agency,Sturgis,MI
http://sturtevant-wi.gov,City,Non-Federal Agency,Sturtevant,WI
http://sugargroveil.gov,City,Non-Federal Agency,Sugar Grove,IL
http://tallassee-al.gov,City,Non-Federal Agency,Millbrook,AL
http://tamacityia.gov,City,Non-Federal Agency,Tama,IA
http://tappahannock-va.gov,City,Non-Federal Agency,Tappahannock,VA
http://taylorsvilleut.gov,City,Non-Federal Agency,Taylorsville,UT
http://teanecknj.gov,City,Non-Federal Agency,Teaneck,NJ
http://temeculaca.gov,City,Non-Federal Agency,Temecula,CA
http://thornebay-ak.gov,City,Non-Federal Agency,Thorne Bay,AK
http://tiffinohio.gov,City,Non-Federal Agency,Tiffin,OH
http://tiogatx.gov,City,Non-Federal Agency,Tioga,TX
http://tontitownar.gov,City,Non-Federal Agency,Tontitown,AR
http://torrington-ct.gov,City,Non-Federal Agency,Torrington,CT
http://towerlakes-il.gov,City,Non-Federal Agency,Tower Lakes,IL
http://townofbethlehem-ny.gov,City,Non-Federal Agency,Delmar,NY
http://townofislip-ny.gov,City,Non-Federal Agency,Islip,NY
http://townofkentny.gov,City,Non-Federal Agency,Kent Lakes,NY
http://townoflapointewi.gov,City,Non-Federal Agency,La Pointe,WI
http://townofnortheastny.gov,City,Non-Federal Agency,Millerton,NY
http://townofoysterbay-ny.gov,City,Non-Federal Agency,Oyster Bay,NY
http://townofpenningtonva.gov,City,Non-Federal Agency,Pennington Gap,VA
http://townofsmyrna-tn.gov,City,Non-Federal Agency,Smyrna,TN
http://townoftroutville-va.gov,City,Non-Federal Agency,Troutville,VA
http://townofwarren-ri.gov,City,Non-Federal Agency,Warren,RI
http://townofwillsborony.gov,City,Non-Federal Agency,Willsboro,NY
http://traversecitymi.gov,City,Non-Federal Agency,Traverse City,MI
http://trinityal.gov,City,Non-Federal Agency,Trinity,AL
http://troymi.gov,City,Non-Federal Agency,Troy,MI
http://troyohio.gov,City,Non-Federal Agency,Troy,OH
http://tupperlakeny.gov,City,Non-Federal Agency,Tupper Lake,NY
http://tuskegeealabama.gov,City,Non-Federal Agency,Tuskegee,AL
http://unionbeachnj.gov,City,Non-Federal Agency,Union Beach,NJ
http://unitynh.gov,City,Non-Federal Agency,Charlestown,NH
http://uplandca.gov,City,Non-Federal Agency,UPLAND,CA
http://uppertownshipnj.gov,City,Non-Federal Agency,Petersburg,NJ
http://utica-il.gov,City,Non-Federal Agency,Utica,IL
http://venetaoregon.gov,City,Non-Federal Agency,Veneta,OR
http://villageofbabylonny.gov,City,Non-Federal Agency,Babylon,NY
